,index,policy,item_util,max_envy,imp_in_item_util
616,28,NSW (1.0),1.2446744131317638e-05,0.15101492387045637,0.00089616557745487
617,29,NSW (1.0),5.608816396647855e-06,0.25362979416148634,0.0004038347805586456
618,30,NSW (1.0),5.684771177465049e-06,0.25362971820670555,0.0004093035247774836
619,31,NSW (1.0),0.00794729507338598,0.1430800755412017,0.5722052452837906
620,32,NSW (1.0),1.0890764914474289e-05,0.25362451221296856,0.0007841350738421488
621,33,NSW (1.0),5.86158917480629e-06,0.2536295413887082,0.00042203442058605286
622,34,NSW (1.0),0.06704241842279424,0.08398495219179344,4.827054126441185
623,35,NSW (1.0),5.601314174735589e-06,0.2536298016637083,0.00040329462058096244
624,0,NSW (0.0),4.474052729802994e-05,0.07436028514119707,0.003221317965458156
625,1,NSW (0.0),0.033031112146411024,0.11258248570226298,2.3782400745415937
626,2,NSW (0.0),1.1359165094436168e-05,0.14560223868357958,0.0008178598867994042
627,3,NSW (0.0),0.033076960878675496,0.11253663696999851,2.381541183264636
628,4,NSW (0.0),0.024085686737892985,0.05031933893060211,1.734169445128295
629,5,NSW (0.0),1.0446392152299131e-05,0.1456031514565217,0.0007521402349655375
630,6,NSW (0.0),1.2903819592747328e-05,0.14560069402908127,0.0009290750106778076
631,7,NSW (0.0),4.143177763295226e-05,0.07436359389086214,0.0029830879895725625
632,8,NSW (0.0),0.043386580060371785,0.031018445608123307,3.123833764346769
633,9,NSW (0.0),0.040144607569651006,0.105468990279023,2.8904117450148727
634,10,NSW (0.0),9.579944408123281e-06,0.1456040179042659,0.0006897559973848763
635,11,NSW (0.0),4.523263773788646e-05,0.07435979303075721,0.0032567499171278257
636,12,NSW (0.0),0.043386580060371785,0.031018445608123307,3.123833764346769
637,13,NSW (0.0),0.033132765483549154,0.11248083236512485,2.385559114815539
638,14,NSW (0.0),7.4415522011025416e-06,0.1456061562964729,0.000535791758479383
639,15,NSW (0.0),1.0446392152299131e-05,0.1456031514565217,0.0007521402349655375
640,16,NSW (0.0),0.02431423428301775,0.05009079138547734,1.750624868377278
641,17,NSW (0.0),0.043386580060371785,0.031018445608123307,3.123833764346769
642,18,NSW (0.0),5.143004471603791e-05,0.07435359562377905,0.0037029632195547295
643,19,NSW (0.0),0.040725600214017256,0.10488799763465675,2.9322432154092426
644,20,NSW (0.0),0.043386580060371785,0.031018445608123307,3.123833764346769
645,21,NSW (0.0),4.470930863272549e-05,0.07436031635986237,0.0032190702215562357
646,22,NSW (0.0),0.033511644569583526,0.11210195327909048,2.412838409010014
647,23,NSW (0.0),5.1384244374928125e-06,0.1456084594242365,0.0003699665594994825
648,24,NSW (0.0),0.043386580060371785,0.031018445608123307,3.123833764346769
649,25,NSW (0.0),0.043386580060371785,0.031018445608123307,3.123833764346769
650,26,NSW (0.0),0.0334858792068376,0.1121277186418364,2.410983302892307
651,27,NSW (0.0),4.50543498694125e-05,0.07435997131862568,0.0032439131905977
652,28,NSW (0.0),0.07440502566849509,0.0,5.357161848131647
653,29,NSW (0.0),9.23376311360356e-06,0.1456043640855604,0.0006648309441794563
654,30,NSW (0.0),9.97960855377519e-06,0.14560361824012022,0.0007185318158718137
655,31,NSW (0.0),0.043386580060371785,0.031018445608123307,3.123833764346769
656,32,NSW (0.0),0.040725600214017256,0.10488799763465675,2.9322432154092426
657,33,NSW (0.0),1.0446392152299131e-05,0.1456031514565217,0.0007521402349655375
658,34,NSW (0.0),0.024117937326366516,0.050287088342128576,1.7364914874983892
659,35,NSW (0.0),9.233109417545141e-06,0.14560436473925645,0.0006647838780632502
660,0,Max,0.0,0.5,0.0
661,1,Max,0.0,0.5,0.0
662,2,Max,0.0,0.5,0.0
663,3,Max,0.0,0.5,0.0
664,4,Max,0.0,0.5,0.0
665,5,Max,0.0,0.5,0.0
666,6,Max,0.0,0.5,0.0
667,7,Max,0.0,0.5,0.0
668,8,Max,0.0,0.5,0.0
669,9,Max,0.0,0.5,0.0
670,10,Max,0.0,0.5,0.0
671,11,Max,0.0,0.5,0.0
672,12,Max,0.5,0.0,26.0
673,13,Max,0.0,0.5,0.0
674,14,Max,0.0,0.5,0.0
675,15,Max,0.0,0.5,0.0
676,16,Max,0.0,0.5,0.0
677,17,Max,0.0,0.5,0.0
678,18,Max,0.0,0.5,0.0
679,19,Max,0.0,0.5,0.0
680,20,Max,0.0,0.5,0.0
681,21,Max,0.5,0.0,26.0
682,22,Max,0.0,0.5,0.0
683,23,Max,0.0,0.5,0.0
684,24,Max,0.0,0.5,0.0
685,25,Max,0.0,0.5,0.0
686,0,Expo-Fair,0.002189095560738695,0.1582863168337414,0.11383296915841212
687,1,Expo-Fair,6.93558174162595e-07,0.16047471883630593,3.606502505645494e-05
688,2,Expo-Fair,0.0,0.08154809703215812,0.0
689,3,Expo-Fair,2.9861402938108436e-07,0.1604751137804507,1.5527929527816387e-05
690,4,Expo-Fair,3.4065784167359e-07,0.1604750717366384,1.771420776702668e-05
691,5,Expo-Fair,0.0,0.08154809703215812,0.0
692,6,Expo-Fair,0.0,0.08154809703215812,0.0
693,7,Expo-Fair,3.4739770903850204e-07,0.16047506499677106,1.8064680870002104e-05
694,8,Expo-Fair,5.0850611385262955e-06,0.0815430119710196,0.00026442317920336733
